nodeID nodeLabel
1 "7 A1 CHFU"
2 "7 A4 LEMA"
3 "7 A5 CHFU"
4 "7 A5 LEMA"
5 "7 A5 ME"
6 "7 A6 LEMA"
7 "7 A6 PUPA"
8 "7 B1 CHFU"
9 "7 B2 CHFU"
10 "7 B3 CHFU"
11 "7 B3 LEMA"
12 "7 B3 ME"
13 "7 B4 CHFU"
14 "7 B4 LEMA"
15 "7 B4 PUPA"
16 "7 B5 CHFU"
17 "7 B5 LEMA"
18 "7 B5 ME"
19 "7 B5 PUPA"
20 "7 B6 CHFU"
21 "7 B6 LEMA"
22 "7 C1 LEMA"
23 "7 C2 CHFU"
24 "7 C2 LEMA"
25 "7 C2 PUPA"
26 "7 C3 CHFU"
27 "7 C3 LEMA"
28 "7 C3 PUPA"
29 "7 C4 LEMA"
30 "7 C4 PUPA"
31 "7 C5 CHFU"
32 "7 C5 LEMA"
33 "7 C6 CHFU"
34 "7 C6 LEMA"
35 "7 D1 CHFU"
36 "7 D1 CHMI"
37 "7 D1 LEMA"
38 "7 D2 CHFU"
39 "7 D2 LEMA"
40 "7 D2 ME"
41 "7 D2 PUPA"
42 "7 D3 CHFU"
43 "7 D3 CHMI"
44 "7 D3 LEMA"
45 "7 D3 PUPA"
46 "7 D4 CHFU"
47 "7 D4 LEMA"
48 "7 D5 CHFU"
49 "7 D5 LEMA"
50 "7 D5 PUPA"
51 "7 D6 CHFU"
52 "7 D6 LEMA"
53 "7 E1 CHFU"
54 "7 E1 LEMA"
55 "7 E2 CHFU"
56 "7 E2 LEMA"
57 "7 E2 ME"
58 "7 E3 CHFU"
59 "7 E3 LEMA"
60 "7 E3 PUPA"
61 "7 E4 CHFU"
62 "7 E4 LEMA"
63 "7 E4 PUPA"
64 "7 E5 CHFU"
65 "7 E6 CHFU"
66 "7 E6 LEMA"
67 "7 E6 PUPA"
68 "7 F1 CHFU"
69 "7 F2 CHFU"
70 "7 F2 LEMA"
71 "7 F3 CHFU"
72 "7 F3 LEMA"
73 "7 F3 PUPA"
74 "7 F4 CHFU"
75 "7 F4 CHMI"
76 "7 F4 LEMA"
77 "7 F4 PUPA"
78 "7 F5 CHFU"
79 "7 F5 CHMI"
80 "7 F6 PUPA"
81 "8 A1 LEMA"
82 "8 A2 CHFU"
83 "8 A2 LEMA"
84 "8 A2 PUPA"
85 "8 A3 CHFU"
86 "8 A3 LEMA"
87 "8 A4 CHFU"
88 "8 A4 LEMA"
89 "8 A5 CHFU"
90 "8 A5 LEMA"
91 "8 A6 CHFU"
92 "8 B1 CHFU"
93 "8 B2 CHFU"
94 "8 B2 LEMA"
95 "8 B2 PUPA"
96 "8 B3 CHFU"
97 "8 B3 LEMA"
98 "8 B3 PUPA"
99 "8 B4 CHFU"
100 "8 B4 LEMA"
101 "8 B4 PUPA"
102 "8 B5 CHFU"
103 "8 B5 LEMA"
