node_to,layer_to,module_from,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
A1 LEMA,LEMA,10,1,1,0.625,0.5303300858899106,0.7071067811865476,1.0128755364806867,1.615914966963516e-4,0.9998384085033036
A2 CETE,CETE,6,1,1,1,0,NaN,1,0,1
A2 LEMA,LEMA,1,1,0.05680842762387827,0.9672805973235158,3.5897615539188985,-0.2536302637443109,0.05680842762387827,0,1
A3 CETE,CETE,2,1,1,1.4816468253968254,1.3763045530427223,-0.3499565734429961,1,0,1
A3 LEMA,LEMA,1,1,0.5429184549356223,0.9672805973235158,3.5897615539188985,-0.11821457665471473,0.5429184549356223,0,1
A4 LEMA,LEMA,1,1,0.12524385485758877,0.9672805973235158,3.5897615539188985,-0.23456620441730616,0.12524385485758877,0,1
A5 LEMA,LEMA,1,1,0.48255950058525166,0.9672805973235158,3.5897615539188985,-0.13502877265179355,0.48255950058525166,0,1
A6 LEMA,LEMA,1,1,1.0568084276238783,0.9672805973235158,3.5897615539188985,0.024939770777428392,1.0568084276238783,0,1
Anastoechus_sp LEMA,LEMA,8,1,0.7,0.5111111111111111,0.18358568490953672,1.0288868055369642,0.8111111111111111,0.01876524676299493,0.981234753237005
Andrena_sp LEMA,LEMA,4,1,0.19047619047619047,0.7005291005291006,0.7630700964637798,-0.6684220917797694,0.29047619047619044,0.1185165278151035,0.8814834721848965
B1 CHFU,CHFU,3,1,0.15384615384615385,1.0227272727272727,2.0186783186096933,-0.4304207911043181,0.15384615384615385,0,1
B1 LEMA,LEMA,1,1,1.052516582130316,0.9672805973235158,3.5897615539188985,0.023744191230124768,1.052516582130316,0,1
B2 LEMA,LEMA,1,1,0.04291845493562232,0.9672805973235158,3.5897615539188985,-0.25749959391558436,0.04291845493562232,0,1
B3 LEMA,LEMA,1,1,0.07069840031213422,0.9672805973235158,3.5897615539188985,-0.2497609335730374,0.07069840031213422,0,1
B4 CHFU,CHFU,3,1,0.07692307692307693,1.0227272727272727,2.0186783186096933,-0.46852645470309073,0.07692307692307693,0,1
B4 LEMA,LEMA,1,1,0.09317206398751463,0.9672805973235158,3.5897615539188985,-0.24350044430715673,1.0931720639875147,0.8368024642755253,0.1631975357244747
B5 LEMA,LEMA,1,1,0.052516582130316035,0.9672805973235158,3.5897615539188985,-0.2548258432916145,0.052516582130316035,0,1
B6 LEMA,LEMA,1,1,0.052516582130316035,0.9672805973235158,3.5897615539188985,-0.2548258432916145,0.252516582130316,0.6273070761412479,0.3726929238587521
Bombilus_major CETE,CETE,6,1,1,1,0,NaN,1,0,1
Braconidae LEMA,LEMA,5,1,0.10526315789473684,0.6469298245614035,0.6695579721661284,-0.8089914379098306,0.20526315789473684,0.23734385272846817,0.7626561472715319
Brassicogethes_sp LEMA,LEMA,1,1,21.2738233988234,0.9672805973235158,3.5897615539188985,5.656794329230999,24.867348879190985,0.004112075788670089,0.9958879242113299
C1 CHFU,CHFU,3,1,1.1538461538461537,1.0227272727272727,2.0186783186096933,0.06495283567972603,1.1538461538461537,0,1
