"Plot";"Subplot";"Order";"Family";"Species";"ID";"ID_Simple";"G_F";"num.visits";"ID2";"Plant_Simple";"num.plantas";"Fruit";"Seed"
1;"A1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"12";3;192
1;"A1";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"12";3;192
1;"A2";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"CHFU";"CHFU";"1";1;76
1;"A2";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";2;"CHFU";"CHFU";"1";1;76
1;"A2";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";3;"LEMA";"LEMA";"20";2;128
1;"A2";"Diptera";"Stratiomyidae";"Odontomyia_sp.";"Odontomyia_sp.";"Odontomyia_sp.";"Small_flies";1;"LEMA";"LEMA";"20";2;128
1;"A3";"Diptera";"Empididae";NA;"Empididae";"Empididae";"Small_flies";1;"CHFU";"CHFU";"7";2;152
1;"A3";"Coleoptera";"Buprestidae";NA;"Buprestidae";"Anthaxia_semicuprea";"Flower_beetles";1;"LEMA";"LEMA";"25";2;128
1;"A3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"25";2;128
1;"A4";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"15";2;128
1;"A4";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";1;"LEMA";"LEMA";"15";2;128
1;"A5";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"30";4;256
