Day;Month;Year;ID;Plot;Subplot;Plant;Seeds/Fruit;Fruits/Panicle;Mean Seeds/Fruit;Mean Fruits/panicle;Obsv
24;4;2020;1;1;E6;SCLA;31;1;31;1;
24;4;2020;2;1;E1;SCLA;22;1;31;1;
24;4;2020;3;3;B4;SCLA;20;1;31;1;
24;4;2020;4;2;B2;SCLA;34;1;31;1;
24;4;2020;5;2;B5;SCLA;8;1;31;1;
24;4;2020;6;2;A2;SCLA;28;1;31;1;
24;4;2020;7;7;E6;SCLA;11;1;31;1;
24;4;2020;8;7;D6;SCLA;26;1;31;1;
24;4;2020;9;7;B2;SCLA;12;1;31;1;
24;4;2020;10;7;E5;SCLA;25;1;31;1;
24;4;2020;11;7;E3;SCLA;20;1;31;1;
24;4;2020;12;2;C6;SCLA;32;1;31;1;
24;4;2020;13;9;A5;SCLA;48;1;31;1;
24;4;2020;14;9;A3;SCLA;38;1;31;1;
24;4;2020;15;9;C5;SCLA;56;1;31;1;
24;4;2020;16;9;B3;SCLA;61;1;31;1;
24;4;2020;17;9;B2;SCLA;29;1;31;1;
24;4;2020;18;9;A2;SCLA;38;1;31;1;
24;4;2020;19;9;B6;SCLA;44;1;31;1;
24;4;2020;20;9;A1;SCLA;34;1;31;1;
24;4;2020;21;9;B3;SCLA;60;1;31;1;
24;4;2020;22;9;E6;SCLA;20;1;31;1;
24;4;2020;23;2;B4;SCLA;23;1;31;1;
5;5;2020;1;7;F1;SPRU;46;1;24;1;
5;5;2020;2;7;D1;SPRU;33;1;24;1;
5;5;2020;3;7;E1;SPRU;23;1;24;1;
5;5;2020;4;7;F4;SPRU;47;1;24;1;
5;5;2020;5;7;F2;SPRU;24;1;24;1;
5;5;2020;6;7;F3;SPRU;21;1;24;1;
5;5;2020;7;7;D1;SPRU;19;1;24;1;
5;5;2020;8;7;F6;SPRU;0;1;24;1;
5;5;2020;9;7;B1;SPRU;16;1;24;1;
5;5;2020;10;7;A1;SPRU;10;1;24;1;
1;6;2020;1;NA;NA;ANAR;22;1;21;1;
1;6;2020;2;NA;NA;ANAR;17;1;21;1;
1;6;2020;3;NA;NA;ANAR;20;1;21;1;
1;6;2020;4;NA;NA;ANAR;21;1;21;1;
1;6;2020;5;NA;NA;ANAR;30;1;21;1;
1;6;2020;6;NA;NA;ANAR;19;1;21;1;
1;6;2020;7;NA;NA;ANAR;19;1;21;1;
1;6;2020;8;NA;NA;ANAR;18;1;21;1;
1;6;2020;9;NA;NA;ANAR;20;1;21;1;
24;4;2020;1;7;D1;SOAS;56;1;55;1;
24;4;2020;2;7;E2;SOAS;32;1;55;1;
24;4;2020;3;7;B1;SOAS;50;1;55;1;
24;4;2020;4;7;C6;SOAS;49;1;55;1;
24;4;2020;5;7;F6;SOAS;59;1;55;1;
24;4;2020;6;7;E3;SOAS;43;1;55;1;
24;4;2020;7;7;A5;SOAS;51;1;55;1;
24;4;2020;8;7;D2;SOAS;40;1;55;1;
24;4;2020;9;7;E6;SOAS;20;1;55;1;
24;4;2020;10;7;A1;SOAS;71;1;55;1;
24;4;2020;11;8;A3;SOAS;62;1;55;1;
24;4;2020;12;8;F4;SOAS;104;1;55;1;
24;4;2020;13;8;A6;SOAS;33;1;55;1;
24;4;2020;14;8;F6;SOAS;85;1;55;1;
24;4;2020;15;8;E6;SOAS;60;1;55;1;
24;4;2020;16;8;E5;SOAS;45;1;55;1;
24;4;2020;17;8;B6;SOAS;104;1;55;1;
24;4;2020;18;8;B4;SOAS;44;1;55;1;
24;4;2020;19;8;A5;SOAS;43;1;55;1;
19;5;2020;1;1;D1;LEMA;52;1;58;1;
19;5;2020;2;1;C2;LEMA;88;1;58;1;
19;5;2020;3;1;F3;LEMA;80;1;58;1;
19;5;2020;4;1;F1;LEMA;70;1;58;1;
19;5;2020;5;1;D4;LEMA;82;1;58;1;
19;5;2020;6;1;E3;LEMA;48;1;58;1;
19;5;2020;7;1;E2;LEMA;54;1;58;1;
19;5;2020;8;1;C6;LEMA;62;1;58;1;
19;5;2020;9;1;A3;LEMA;66;1;58;1;
19;5;2020;10;1;A6;LEMA;96;1;58;1;
18;5;2020;11;9;D5;LEMA;48;1;58;1;
18;5;2020;12;8;F6;LEMA;17;1;58;1;
18;5;2020;13;8;B6;LEMA;33;1;58;1;
18;5;2020;14;8;C1;LEMA;28;1;58;1;
18;5;2020;15;8;E6;LEMA;41;1;58;1;
18;5;2020;16;6;D6;LEMA;27;1;58;1;
18;5;2020;17;6;F6;LEMA;33;1;58;1;
18;5;2020;18;5;F3;LEMA;32;1;58;1;
18;5;2020;19;5;F5;LEMA;29;1;58;1;
18;5;2020;20;5;F6;LEMA;39;1;58;1;
18;5;2020;21;4;C1;LEMA;69;1;58;1;
18;5;2020;22;4;D1;LEMA;42;1;58;1;
18;5;2020;23;4;F2;LEMA;60;1;58;1;
13;5;2020;24;7;D6;LEMA;26;1;58;1;
