Day;Month;Year;Plot;Subplot;Group;Order;Superfamily;Family;Species;ID;G_F;Visits;ID2;Plant_Simple;num.plantas;Fruit;Seed
8;2;2019;3;A6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;3;CHFU;CHFU;4;1;76
8;2;2019;3;D3;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;2;CHFU;CHFU;1;0;0
8;2;2019;3;F2;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;1;CHFU;CHFU;5;2;152
8;2;2019;5;A3;Fly;Diptera;Syrphoidea;Syrphidae;Sphaerophoria_sp.;Sphaerophoria_sp.;Hoverflies;2;CHFU;CHFU;16;3;228
8;2;2019;5;C3;Fly;Diptera;Syrphoidea;Syrphidae;Episyrphus_balteatus;Episyrphus_balteatus;Hoverflies;2;CHFU;CHFU;4;5;380
8;2;2019;5;C4;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;2;1;76
8;2;2019;5;F5;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;6;5;380
8;2;2019;5;F6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;3;CHFU;CHFU;1;0;0
8;2;2019;5;F6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;1;CHFU;CHFU;1;0;0
8;2;2019;5;F6;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;1;0;0
8;2;2019;7;D6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;RAPE;RAPE;41;0;0
8;2;2019;7;E3;Fly;Diptera;Syrphoidea;Syrphidae;NA;Syrphidae;Hoverflies;1;RAPE;RAPE;25;0;0
8;2;2019;8;A3;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;1;CHFU;CHFU;28;15;1140
8;2;2019;8;A6;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;1;CHFU;CHFU;61;10;760
8;2;2019;9;A6;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;19;4;304
8;2;2019;9;B1;Fly;Diptera;NA;NA;NA;Diptera;Flies;1;CHFU;CHFU;61;2;152
8;2;2019;9;B1;Fly;Diptera;NA;Bibionidae;Dilophus_sp.;Dilophus_sp.;Small_flies;1;CHFU;CHFU;61;2;152
8;2;2019;8;B3;Fly;Diptera;Syrphoidea;Syrphidae;Scaeva_sp.;Scaeva_sp.;Hoverflies;1;CHFU;CHFU;22;10;760
8;2;2019;9;C1;Fly;Diptera;Syrphoidea;Syrphidae;Episyrphus_sp.;Episyrphus_sp.;Hoverflies;1;CHFU;CHFU;51;1;76
