"year";"month";"day";"plot";"subplot";"species";"individuals"
"2019";"5";"14";1;"A1";"BEMA";0
"2019";"5";"14";1;"A2";"BEMA";0
"2019";"5";"14";1;"A3";"BEMA";0
"2019";"5";"14";1;"A4";"BEMA";0
"2019";"5";"14";1;"A5";"BEMA";0
"2019";"5";"14";1;"A6";"BEMA";0
"2019";"5";"14";1;"B1";"BEMA";0
"2019";"5";"14";1;"B2";"BEMA";0
"2019";"5";"14";1;"B3";"BEMA";0
"2019";"5";"14";1;"B4";"BEMA";0
"2019";"5";"14";1;"B5";"BEMA";0
"2019";"5";"14";1;"B6";"BEMA";0
"2019";"5";"14";1;"C1";"BEMA";0
"2019";"5";"14";1;"C2";"BEMA";0
"2019";"5";"14";1;"C3";"BEMA";0
"2019";"5";"14";1;"C4";"BEMA";0
"2019";"5";"14";1;"C5";"BEMA";0
"2019";"5";"14";1;"C6";"BEMA";0
"2019";"5";"14";1;"D1";"BEMA";0
"2019";"5";"14";1;"D2";"BEMA";0
"2019";"5";"14";1;"D3";"BEMA";0
"2019";"5";"14";1;"D4";"BEMA";0
"2019";"5";"14";1;"D5";"BEMA";0
"2019";"5";"14";1;"D6";"BEMA";0
"2019";"5";"14";1;"E1";"BEMA";0
"2019";"5";"14";1;"E2";"BEMA";0
"2019";"5";"14";1;"E3";"BEMA";0
"2019";"5";"14";1;"E4";"BEMA";0
"2019";"5";"14";1;"E5";"BEMA";0
"2019";"5";"14";1;"E6";"BEMA";0
"2019";"5";"14";1;"F1";"BEMA";0
"2019";"5";"14";1;"F2";"BEMA";0
"2019";"5";"14";1;"F3";"BEMA";0
"2019";"5";"14";1;"F4";"BEMA";0
"2019";"5";"14";1;"F5";"BEMA";0
"2019";"5";"14";1;"F6";"BEMA";0
"2019";"5";"14";2;"A1";"BEMA";0
"2019";"5";"14";2;"A2";"BEMA";0
"2019";"5";"14";2;"A3";"BEMA";0
"2019";"5";"14";2;"A4";"BEMA";0
"2019";"5";"14";2;"A5";"BEMA";0
"2019";"5";"14";2;"A6";"BEMA";0
"2019";"5";"14";2;"B1";"BEMA";0
"2019";"5";"14";2;"B2";"BEMA";0
"2019";"5";"14";2;"B3";"BEMA";0
"2019";"5";"14";2;"B4";"BEMA";0
"2019";"5";"14";2;"B5";"BEMA";0
"2019";"5";"14";2;"B6";"BEMA";30
"2019";"5";"14";2;"C1";"BEMA";0
"2019";"5";"14";2;"C2";"BEMA";0
"2019";"5";"14";2;"C3";"BEMA";0
"2019";"5";"14";2;"C4";"BEMA";0
"2019";"5";"14";2;"C5";"BEMA";0
"2019";"5";"14";2;"C6";"BEMA";0
"2019";"5";"14";2;"D1";"BEMA";0
"2019";"5";"14";2;"D2";"BEMA";0
"2019";"5";"14";2;"D3";"BEMA";0
"2019";"5";"14";2;"D4";"BEMA";0
"2019";"5";"14";2;"D5";"BEMA";0
"2019";"5";"14";2;"D6";"BEMA";0
"2019";"5";"14";2;"E1";"BEMA";0
"2019";"5";"14";2;"E2";"BEMA";0
"2019";"5";"14";2;"E3";"BEMA";0
"2019";"5";"14";2;"E4";"BEMA";0
"2019";"5";"14";2;"E5";"BEMA";0
"2019";"5";"14";2;"E6";"BEMA";0
"2019";"5";"14";2;"F1";"BEMA";0
"2019";"5";"14";2;"F2";"BEMA";0
"2019";"5";"14";2;"F3";"BEMA";0
"2019";"5";"14";2;"F4";"BEMA";0
"2019";"5";"14";2;"F5";"BEMA";0
"2019";"5";"14";2;"F6";"BEMA";0
"2019";"5";"14";3;"A1";"BEMA";0
"2019";"5";"14";3;"A2";"BEMA";0
"2019";"5";"14";3;"A3";"BEMA";0
"2019";"5";"14";3;"A4";"BEMA";0
"2019";"5";"14";3;"A5";"BEMA";0
"2019";"5";"14";3;"A6";"BEMA";0
"2019";"5";"14";3;"B1";"BEMA";0
"2019";"5";"14";3;"B2";"BEMA";0
"2019";"5";"14";3;"B3";"BEMA";0
"2019";"5";"14";3;"B4";"BEMA";0
"2019";"5";"14";3;"B5";"BEMA";0
"2019";"5";"14";3;"B6";"BEMA";0
"2019";"5";"14";3;"C1";"BEMA";0
"2019";"5";"14";3;"C2";"BEMA";0
"2019";"5";"14";3;"C3";"BEMA";0
"2019";"5";"14";3;"C4";"BEMA";0
