year;month;day;plot;subplot;focal;fruit;competitor;number
2019;5;14;2;B6;BEMA;20;BEMA;2
2019;5;14;2;B6;BEMA;11;BEMA;2
2019;5;14;2;B6;BEMA;10;BEMA;1
2019;5;14;2;B6;BEMA;9;BEMA;3
2019;5;14;2;B6;BEMA;7;BEMA;4
2019;5;14;2;B6;BEMA;20;CETE;1
2019;5;14;2;B6;BEMA;11;CETE;1
2019;5;14;2;B6;BEMA;10;CETE;0
2019;5;14;2;B6;BEMA;9;CETE;0
2019;5;14;2;B6;BEMA;7;CETE;1
2019;5;14;2;B6;BEMA;20;CHFU;0
2019;5;14;2;B6;BEMA;11;CHFU;0
2019;5;14;2;B6;BEMA;10;CHFU;0
2019;5;14;2;B6;BEMA;9;CHFU;0
2019;5;14;2;B6;BEMA;7;CHFU;0
2019;5;14;2;B6;BEMA;20;CHMI;0
2019;5;14;2;B6;BEMA;11;CHMI;0
2019;5;14;2;B6;BEMA;10;CHMI;0
2019;5;14;2;B6;BEMA;9;CHMI;0
2019;5;14;2;B6;BEMA;7;CHMI;0
2019;5;14;2;B6;BEMA;20;COSQ;0
2019;5;14;2;B6;BEMA;11;COSQ;0
2019;5;14;2;B6;BEMA;10;COSQ;0
2019;5;14;2;B6;BEMA;9;COSQ;0
2019;5;14;2;B6;BEMA;7;COSQ;0
2019;5;14;2;B6;BEMA;20;FRPU;0
2019;5;14;2;B6;BEMA;11;FRPU;0
2019;5;14;2;B6;BEMA;10;FRPU;0
2019;5;14;2;B6;BEMA;9;FRPU;0
2019;5;14;2;B6;BEMA;7;FRPU;0
2019;5;14;2;B6;BEMA;20;HOMA;20
2019;5;14;2;B6;BEMA;11;HOMA;25
2019;5;14;2;B6;BEMA;10;HOMA;20
2019;5;14;2;B6;BEMA;9;HOMA;25
2019;5;14;2;B6;BEMA;7;HOMA;20
2019;5;14;2;B6;BEMA;20;LEMA;0
2019;5;14;2;B6;BEMA;11;LEMA;3
2019;5;14;2;B6;BEMA;10;LEMA;0
2019;5;14;2;B6;BEMA;9;LEMA;1
2019;5;14;2;B6;BEMA;7;LEMA;2
2019;5;14;2;B6;BEMA;20;LYTR;0
2019;5;14;2;B6;BEMA;11;LYTR;0
2019;5;14;2;B6;BEMA;10;LYTR;0
2019;5;14;2;B6;BEMA;9;LYTR;0
2019;5;14;2;B6;BEMA;7;LYTR;0
2019;5;14;2;B6;BEMA;20;MEEL;0
2019;5;14;2;B6;BEMA;11;MEEL;0
2019;5;14;2;B6;BEMA;10;MEEL;0
2019;5;14;2;B6;BEMA;9;MEEL;0
2019;5;14;2;B6;BEMA;7;MEEL;0
2019;5;14;2;B6;BEMA;20;MEPO;0
2019;5;14;2;B6;BEMA;11;MEPO;0
2019;5;14;2;B6;BEMA;10;MEPO;0
2019;5;14;2;B6;BEMA;9;MEPO;0
2019;5;14;2;B6;BEMA;7;MEPO;0
2019;5;14;2;B6;BEMA;20;MESU;0
2019;5;14;2;B6;BEMA;11;MESU;0
2019;5;14;2;B6;BEMA;10;MESU;0
2019;5;14;2;B6;BEMA;9;MESU;0
2019;5;14;2;B6;BEMA;7;MESU;0
2019;5;14;2;B6;BEMA;20;PAIN;0
2019;5;14;2;B6;BEMA;11;PAIN;0
2019;5;14;2;B6;BEMA;10;PAIN;0
2019;5;14;2;B6;BEMA;9;PAIN;3
2019;5;14;2;B6;BEMA;7;PAIN;0
2019;5;14;2;B6;BEMA;20;PLCO;0
2019;5;14;2;B6;BEMA;11;PLCO;0
2019;5;14;2;B6;BEMA;10;PLCO;0
2019;5;14;2;B6;BEMA;9;PLCO;0
2019;5;14;2;B6;BEMA;7;PLCO;0
2019;5;14;2;B6;BEMA;20;POMA;0
2019;5;14;2;B6;BEMA;11;POMA;0
2019;5;14;2;B6;BEMA;10;POMA;0
2019;5;14;2;B6;BEMA;9;POMA;0
2019;5;14;2;B6;BEMA;7;POMA;0
2019;5;14;2;B6;BEMA;20;POMO;0
2019;5;14;2;B6;BEMA;11;POMO;0
2019;5;14;2;B6;BEMA;10;POMO;0
2019;5;14;2;B6;BEMA;9;POMO;0
2019;5;14;2;B6;BEMA;7;POMO;0
2019;5;14;2;B6;BEMA;20;PUPA;0
2019;5;14;2;B6;BEMA;11;PUPA;0
2019;5;14;2;B6;BEMA;10;PUPA;1
2019;5;14;2;B6;BEMA;9;PUPA;0
2019;5;14;2;B6;BEMA;7;PUPA;0
2019;5;14;2;B6;BEMA;20;RAPE;0
2019;5;14;2;B6;BEMA;11;RAPE;0
2019;5;14;2;B6;BEMA;10;RAPE;0
2019;5;14;2;B6;BEMA;9;RAPE;0
2019;5;14;2;B6;BEMA;7;RAPE;0
2019;5;14;2;B6;BEMA;20;SASO;0
2019;5;14;2;B6;BEMA;11;SASO;0
2019;5;14;2;B6;BEMA;10;SASO;0
2019;5;14;2;B6;BEMA;9;SASO;0
2019;5;14;2;B6;BEMA;7;SASO;0
2019;5;14;2;B6;BEMA;20;SCLA;0
2019;5;14;2;B6;BEMA;11;SCLA;0
2019;5;14;2;B6;BEMA;10;SCLA;0
2019;5;14;2;B6;BEMA;9;SCLA;0
2019;5;14;2;B6;BEMA;7;SCLA;0
2019;5;14;2;B6;BEMA;20;SOAS;0
2019;5;14;2;B6;BEMA;11;SOAS;0
2019;5;14;2;B6;BEMA;10;SOAS;0
2019;5;14;2;B6;BEMA;9;SOAS;0
2019;5;14;2;B6;BEMA;7;SOAS;0
2019;5;14;2;B6;BEMA;20;SPRU;0
2019;5;14;2;B6;BEMA;11;SPRU;0
2019;5;14;2;B6;BEMA;10;SPRU;0
