Day;Month;Year;Plot;Subplot;Group;Order;Family;Genus;Species;ID;ID_Simple;G_F;Plant;Sex;Visits;Jar;time;Observer;Obs;Weather
13;2;2020;1;F2;Bee;Hymenoptera;Apidae;Eucera;NA;Eucera_sp.;Eucera_sp.;Bees;CHFU;M;1;;11:00-15:00;;;
13;2;2020;1;OUT;Bee;Hymenoptera;Apidae;Eucera;NA;Eucera_sp.;Eucera_sp.;Bees;CHFU;M;1;;11:00-15:00;;;
13;2;2020;2;D1;Bee;Hymenoptera;Apidae;Eucera;NA;Eucera_sp.;Eucera_sp.;Bees;CHFU;M;1;;11:00-15:00;;;
13;2;2020;2;E3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;11:00-15:00;;;
13;2;2020;2;E2;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_jar4;Andrena_jar4;Bees;CHFU;NA;1;4;11:00-15:00;;;
13;2;2020;2;OUT;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;near a2,f4;
13;2;2020;8;A1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;A2;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;A3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;A5;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;la micromosca es la de las alas ahumadas;
13;2;2020;8;A6;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;2;;;;;
13;2;2020;8;B6;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;8;B2;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;B1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;2;;;;;
13;2;2020;8;C1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;C2;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;C3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;2;;;;;
13;2;2020;8;C3;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;8;C5;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;2;;;;;
13;2;2020;8;C6;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;D5;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;8;D4;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;D3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;D3;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;8;E3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;8;E3;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;8;F6;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;8;F5;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;9;A1;Bee;Hymenoptera;Apidae;Eucera;NA;Eucera_sp.;Eucera_sp.;Bees;CHFU;M;1;;;;;
13;2;2020;9;D3;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_7N;Andrena_7N;Bees;CHFU;M;2;7N;;;;
13;2;2020;9;D3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;2;;;;;
13;2;2020;9;D3;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_7N;Andrena_7N;Bees;CHFU;F;1;7N;;;;
13;2;2020;9;D2;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;M;1;;;;;
13;2;2020;9;E2;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;2;;;;;
13;2;2020;9;E2;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;M;1;;;;;
13;2;2020;9;E2;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;F;2;;;;;
13;2;2020;9;E3;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;M;1;;;;;
13;2;2020;9;E3;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;F;2;;;;;
13;2;2020;9;E4;Fly;Diptera;NA;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;9;F6;Fly;Diptera;NA;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;;;;
13;2;2020;9;F6;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;;;;
13;2;2020;9;F5;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;4;;;;;
13;2;2020;9;F5;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;F;1;;;;;
13;2;2020;9;F5;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;M;1;;;;;
20;2;2020;9;A1;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;NA;L;;
20;2;2020;9;B1;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;2;;NA;L;;
20;2;2020;9;B3;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;NA;L;;
20;2;2020;9;C2;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;NA;L;;
20;2;2020;9;C3;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;NA;L;;
20;2;2020;8;A2;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;NA;L;;
20;2;2020;8;A4;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;2;;NA;L;;
20;2;2020;8;A5;Fly;Diptera;Syrphidae;Eupeodes;Eupeodes_corollae;Eupeodes_corollae;Eupeodes_corollae;Hoverflies;CHFU;NA;1;;NA;L;;
20;2;2020;8;B4;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;NA;L;;
20;2;2020;9;C2;Beetle;Coleoptera;Melyridae;Psilothris;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;2;;15:27;M;;
20;2;2020;9;D2;Beetle;Coleoptera;Nitidulidae;Brassicogethes;NA;Brassicogethes_sp.;Brassicogethes_sp.;Small_beetles;CHFU;NA;1;;15:27;M;;
20;2;2020;9;E6;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;NA;1;;15:27;M;;
20;2;2020;9;F6;Fly;Diptera;Syrphidae;Eristalis;NA;Eristalis_sp.;Eristalis_sp.;Hoverflies;CHFU;NA;1;;15:27;M;;
20;2;2020;9;F4;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:27;M;;
20;2;2020;9;F4;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;3;;15:27;M;;
20;2;2020;9;D2;Beetle;Coleoptera;Melyridae;Psilothris;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;15:27;M;;
20;2;2020;9;F5;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:27;M;;
20;2;2020;9;D5;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;15:27;M;;
20;2;2020;9;F1;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:27;M;;
20;2;2020;9;F5;Bee;Hymenoptera;NA;NA;NA;Bee_9_20_2;Bee_9_20_2;Bees;CHFU;NA;1;9_20_2;15:27;M;;
20;2;2020;9;F5;Bee;Hymenoptera;NA;NA;NA;Bee_9_20_2;Bee_9_20_2;Bees;CHFU;NA;1;9_20_2;15:27;M;;
20;2;2020;9;E1;Bee;Hymenoptera;NA;NA;NA;Bee_9_20_2;Bee_9_20_2;Bees;CHFU;NA;1;9_20_2;15:27;M;;
20;2;2020;9;OUT;Bee;Hymenoptera;Apidae;Eucera;NA;Eucera_sp.;Eucera_sp.;Bees;OUT;NA;1;;15:55;M;;
20;2;2020;8;F4;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;F2;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;E1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;C1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;A3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;A4;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;C5;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;C4;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:55;M;;
20;2;2020;8;D2;Fly;Diptera;Muscidae;NA;NA;Muscidae;Musca_sp.;House_flies;CHFU;NA;1;;15:55;M;;
26;2;2020;9;F6;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;NA;1;;13:32;M;;
26;2;2020;9;F6;Fly;Diptera;Tachinidae;Cylindromyia;NA;Cylindromyia_sp.;Cylindromyia_sp.;Flies;CHFU;NA;1;;13:32;M;;
26;2;2020;9;F6;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;M;;
26;2;2020;9;E6;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;M;;
26;2;2020;9;E5;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;NA;10;;13:32;M;;
26;2;2020;9;F4;Beetle;Coleoptera;Melyridae;Psilothris;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;M;;
26;2;2020;9;F5;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;NA;1;;13:32;M;;
26;2;2020;9;F4;Fly;Diptera;Syrphidae;NA;NA;Syrphidae;Syrphidae;Hoverflies;CHFU;NA;1;;13:32;M;;
26;2;2020;9;F5;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;M;;
26;2;2020;9;F5;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;NA;1;;13:32;M;;
26;2;2020;8;A1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;A2;Bee;Hymenoptera;Andrenidae;Andrena;NA;Andrena_sp.;Andrena_sp.;Bees;CHFU;NA;1;;13:01;M;;
26;2;2020;8;A2;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;A3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;A3;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;A4;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;A6;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;B6;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;C6;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;2;;13:01;M;;
26;2;2020;8;C6;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:01;M;;
26;2;2020;8;C2;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;C1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;8;C1;Fly;Diptera;Ulidiidae;NA;NA;Ulidiidae;Ulidiidae;Small_flies;CHFU;NA;1;;13:01;M;;
26;2;2020;7;A4;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;12:40;L;;
26;2;2020;7;E1;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;12:40;L;;
26;2;2020;7;E4;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;12:40;L;;
26;2;2020;7;F2;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;12:40;L;;
26;2;2020;8;C2;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;C2;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;E1;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F4;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F3;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F3;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F3;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F2;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F1;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;8;F1;Fly;Diptera;NA;NA;NA;Black_small_fly;Black_small_fly;Small_flies;CHFU;NA;1;;13:01;L;;
26;2;2020;9;A1;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;L;;
26;2;2020;9;A1;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;L;;
26;2;2020;9;A1;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;L;;
26;2;2020;9;B1;Beetle;Coleoptera;Melyridae;Psilothrix;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Psilothrix_viridicoerulea;Flower_beetles;CHFU;NA;1;;13:32;L;;
