Plot,Subplot,G_F,Plant_Simple,Ratio,entropy
1,A5,Small_flies,LEMA,1.0501910868696946,0
1,B5,Flower_beetles,LEMA,1.106884919480699,0
1,C2,Small_flies,LEMA,1.0501910867827073,0
1,D2,Flower_beetles,LEMA,1.1068849193651655,0
1,F2,Small_flies,LEMA,1.0501910868068116,0
2,B3,Flower_beetles,LEMA,1.0495238498215043,0
2,B6,Flower_beetles,LEMA,1.0495238498044477,0
2,F4,Flower_beetles,LEMA,1.0495238498083739,0
3,A5,Flower_beetles,LEMA,1.0038010349231286,0.2145591551764051
3,C3,Bees,LEMA,1.0570718891220803,0
3,C4,Hoverflies,LEMA,1.0193346087359956,0
3,C5,Flower_beetles,LEMA,1.0038010349231286,0.2145591551764051
3,E4,Small_flies,LEMA,1.1850260265813395,0.5623351446188083
3,E4,Flies,LEMA,1.1850260265813395,0.5623351446188083
3,F6,Flower_beetles,LEMA,1.0038010349231286,0.2145591551764051
6,F2,Flower_beetles,LEMA,1.045554649600593,0
