Plot,ID,Subplot,Plant_Simple,Visits_tot,homo_motif,hete_motif,Week,Line,Seeds_GF,Fruit_GF,visits_GF
3,Scaeva_sp.,A6,CHFU,3,2,0,6,1,76,1,3
3,Scaeva_sp.,D3,CHFU,2,2,0,6,1,0,0,2
3,Scaeva_sp.,F2,CHFU,1,2,0,6,1,152,2,1
5,Sphaerophoria_scripta,A3,CHFU,2,0,0,6,2,228,3,2
5,Episyrphus_balteatus,C3,CHFU,2,0,0,6,2,380,5,2
5,Dilophus_sp.,C4,CHFU,1,1,0,6,2,76,1,1
5,Dilophus_sp.,F5,CHFU,1,1,0,6,2,380,5,1
5,Diptera,F6,CHFU,1,0,0,6,2,0,0,1
5,Scaeva_sp.,F6,CHFU,4,0,0,6,2,0,0,4
8,Scaeva_sp.,A3,CHFU,1,2,0,6,3,1140,15,1
8,Scaeva_sp.,A6,CHFU,1,2,0,6,3,760,10,1
8,Scaeva_sp.,B3,CHFU,1,2,0,6,3,760,10,1
8,Episyrphus_balteatus,D1,CHFU,3,0,0,6,3,532,7,3
9,Dilophus_sp.,A6,CHFU,1,2,0,6,3,304,4,1
9,Dilophus_sp.,B1,CHFU,1,2,0,6,3,152,2,1
9,Diptera,B1,CHFU,1,0,0,6,3,152,2,1
9,Episyrphus_balteatus,C1,CHFU,1,2,0,6,3,76,1,1
9,Episyrphus_balteatus,C3,CHFU,1,2,0,6,3,152,2,1
9,Dilophus_sp.,C6,CHFU,1,2,0,6,3,76,1,1
9,Scaeva_sp.,C6,CHFU,1,0,0,6,3,76,1,1
9,Episyrphus_balteatus,D4,CHFU,1,2,0,6,3,304,4,1
1,Dilophus_sp.,A2,CHFU,1,0,0,7,1,76,1,1
1,Sphaerophoria_scripta,B2,CHFU,1,0,0,7,1,152,2,1
2,Dilophus_sp.,A3,CHFU,1,0,0,7,1,152,2,1
3,Eupeodes_corollae,C3,CHFU,1,0,0,7,1,76,1,1
4,Eupeodes_corollae,A5,CHFU,1,0,0,7,2,380,5,1
5,Dilophus_sp.,A3,CHFU,1,2,0,7,2,228,3,1
5,Dilophus_sp.,A5,CHFU,1,2,0,7,2,152,2,1
5,Dilophus_sp.,B2,CHFU,1,2,0,7,2,836,11,1
6,Bruchidae,A2,CHFU,1,0,0,7,2,228,3,1
7,Dilophus_sp.,B5,CHFU,1,3,0,7,3,684,9,1
7,Dilophus_sp.,C2,CHFU,1,3,0,7,3,380,5,1
7,Dilophus_sp.,C5,CHFU,1,3,0,7,3,304,4,1
7,Dilophus_sp.,E2,CHFU,1,3,0,7,3,228,3,1
8,Dilophus_sp.,A4,CHFU,1,0,0,7,3,532,7,1
8,Eupeodes_corollae,D6,CHFU,1,0,0,7,3,380,5,1
9,Sphaerophoria_scripta,D3,CHFU,1,0,0,7,3,228,3,1
9,Dilophus_sp.,E4,CHFU,1,0,0,7,3,228,3,1
1,Diptera,A2,CHFU,2,1,0,8,1,76,1,2
1,Diptera,E5,CHFU,1,1,0,8,1,684,9,1
5,Diptera,D1,CHFU,1,1,0,8,2,456,6,1
5,Dilophus_sp.,D2,CHFU,2,0,0,8,2,1140,15,2
5,Diptera,E1,CHFU,1,1,0,8,2,684,9,1
6,Dilophus_sp.,A6,CHFU,1,0,0,8,2,152,2,1
6,Eupeodes_corollae,E5,ME,1,0,0,8,2,0,0,1
6,Andrena_cinerea,F2,CHFU,1,0,0,8,2,456,6,1
8,Diptera,A2,CHFU,1,2,0,8,3,760,10,1
8,Diptera,B5,CHFU,1,2,0,8,3,228,3,1
8,Diptera,D5,CHFU,1,2,0,8,3,228,3,1
9,Sphaerophoria_scripta,A2,CHFU,1,0,0,8,3,380,5,1
9,Dilophus_sp.,A4,CHFU,1,0,0,8,3,152,2,1
9,Eupeodes_corollae,C3,CHFU,1,2,1,8,3,152,2,1
9,Eupeodes_corollae,C5,CHFU,1,2,1,8,3,228,3,1
9,Eupeodes_corollae,E3,LEMA,1,0,3,8,3,0,0,1
9,Eupeodes_corollae,E4,CHFU,1,2,1,8,3,228,3,1
9,Andrena_cinerea,E5,CHFU,1,0,0,8,3,152,2,1
1,Dilophus_sp.,C5,CHFU,2,0,0,9,1,152,2,2
2,Dilophus_sp.,B1,CHFU,1,0,0,9,1,152,2,1
2,Andrena_cinerea,F3,LEMA,1,0,0,9,1,256,4,1
3,Bruchidae,D2,CHFU,1,0,0,9,1,76,1,1
3,Dilophus_sp.,E2,CHFU,1,0,0,9,1,76,1,1
4,Andrena_cinerea,A2,CHFU,1,0,2,9,2,380,5,1
4,Eupeodes_corollae,A6,CHFU,1,0,1,9,2,228,3,1
4,Andrena_cinerea,C2,LEMA,1,1,1,9,2,448,7,1
4,Eupeodes_corollae,E4,LEMA,1,0,1,9,2,192,3,1
4,Meligethes_sp.,E4,LEMA,1,0,0,9,2,192,3,1
4,Andrena_cinerea,F1,LEMA,1,1,1,9,2,896,14,1
5,Meligethes_sp.,A1,LEMA,1,0,1,9,2,128,2,1
5,Eupeodes_corollae,B2,CHFU,1,0,0,9,2,836,11,1
5,Dilophus_sp.,D5,CHFU,1,0,0,9,2,304,4,1
5,Meligethes_sp.,E1,CHFU,1,0,1,9,2,684,9,1
6,Bruchidae,A3,CHFU,1,0,0,9,2,228,3,1
6,Lomatia_sp.,B3,CHFU,2,0,0,9,2,228,3,2
6,Chrysotoxum_sp.,B4,LEMA,1,0,0,9,2,128,2,1
7,Dilophus_sp.,A5,CHFU,1,4,0,9,3,456,6,1
7,Ulidiidae,A5,CHFU,1,1,0,9,3,456,6,1
7,Dilophus_sp.,B2,CHFU,1,4,0,9,3,608,8,1
7,Dilophus_sp.,B6,CHFU,1,4,0,9,3,456,6,1
7,Andrena_cinerea,C2,CHFU,2,0,0,9,3,380,5,2
7,Dilophus_sp.,C3,CHFU,1,4,0,9,3,1064,14,1
7,Ulidiidae,C3,CHFU,2,1,0,9,3,1064,14,2
7,Dilophus_sp.,F1,CHFU,1,4,0,9,3,0,0,1
8,Dilophus_sp.,B1,CHFU,1,1,0,9,3,532,7,1
8,Lomatia_sp.,C2,CHFU,1,1,0,9,3,608,8,1
8,Bruchidae,D2,CHFU,1,0,0,9,3,380,5,1
8,Lomatia_sp.,D2,CHFU,1,1,0,9,3,380,5,1
8,Dilophus_sp.,E5,CHFU,1,1,0,9,3,456,6,1
9,Dilophus_sp.,A2,CHFU,1,7,0,9,3,380,5,1
9,Dilophus_sp.,A3,CHFU,1,7,0,9,3,152,2,1
9,Musca_sp.,B1,CHFU,1,2,0,9,3,152,2,1
9,Dilophus_sp.,B2,CHFU,1,7,0,9,3,152,2,1
9,Bruchidae,B3,CHFU,1,0,0,9,3,152,2,1
9,Lomatia_sp.,D2,CHFU,1,0,0,9,3,152,2,1
9,Dilophus_sp.,D4,CHFU,2,7,0,9,3,304,4,2
9,Musca_sp.,E1,CHFU,1,2,0,9,3,152,2,1
9,Dilophus_sp.,E3,CHFU,1,7,0,9,3,228,3,1
9,Musca_sp.,E4,CHFU,1,2,0,9,3,228,3,1
9,Dilophus_sp.,F4,CHFU,3,7,0,9,3,304,4,3
9,Dilophus_sp.,F5,CHFU,2,7,0,9,3,228,3,2
9,Dilophus_sp.,F6,CHFU,5,7,0,9,3,456,6,5
1,Empididae,A3,CHFU,1,1,1,11,1,152,2,1
1,Eupeodes_corollae,B1,CHFU,1,0,0,11,1,152,2,1
1,Empididae,B2,CHFU,2,1,1,11,1,152,2,2
1,Empididae,B2,ME,1,0,2,11,1,0,0,1
1,Dilophus_sp.,C4,CHFU,1,0,0,11,1,76,1,1
1,Diptera,E2,CHFU,1,1,0,11,1,76,1,1
1,Diptera,F4,CHFU,1,1,0,11,1,152,2,1
2,Dilophus_sp.,A4,CHFU,2,0,0,11,1,304,4,2
2,Lassioglosum_ immunitum,E4,ME,1,0,0,11,1,120,120,1
4,Empididae,A2,CHFU,2,7,0,11,2,380,5,2
4,Empididae,B1,CHFU,1,7,0,11,2,76,1,1
4,Psilothrix_viridicoerulea,B1,CHFU,2,2,0,11,2,76,1,2
4,Empididae,B2,CHFU,1,7,0,11,2,532,7,1
4,Dilophus_sp.,B5,CHFU,1,2,0,11,2,532,7,1
4,Psilothrix_viridicoerulea,B5,CHFU,2,2,0,11,2,532,7,2
4,Dilophus_sp.,B6,CHFU,1,2,0,11,2,380,5,1
4,Empididae,B6,CHFU,1,7,0,11,2,380,5,1
4,Empididae,C2,CHFU,1,7,0,11,2,380,5,1
4,Diptera,C5,CHFU,1,0,0,11,2,152,2,1
4,Empididae,D6,CHFU,1,7,0,11,2,380,5,1
4,Empididae,E5,CHFU,1,7,0,11,2,684,9,1
4,Psilothrix_viridicoerulea,F4,CHFU,1,2,0,11,2,228,3,1
4,Dilophus_sp.,F5,CHFU,1,2,0,11,2,152,2,1
4,Empididae,F5,CHFU,2,7,0,11,2,152,2,2
5,Dilophus_sp.,A1,CHFU,1,4,0,11,2,684,9,1
5,Dilophus_sp.,A3,CHFU,1,4,0,11,2,228,3,1
5,Dilophus_sp.,A4,CHFU,2,4,0,11,2,836,11,2
5,Dilophus_sp.,A5,CHFU,1,4,0,11,2,152,2,1
5,Dilophus_sp.,B1,CHFU,1,4,0,11,2,608,8,1
5,Eupeodes_corollae,B3,CHFU,1,0,0,11,2,228,3,1
6,Dilophus_sp.,A2,CHFU,1,1,3,11,2,228,3,1
6,Dilophus_sp.,A3,CHFU,1,1,3,11,2,228,3,1
6,Meligethes_sp.,A3,CHFU,1,0,1,11,2,228,3,1
6,Dilophus_sp.,A4,LEMA,1,2,2,11,2,64,1,1
6,Cantharidae,A5,CHFU,1,0,0,11,2,228,3,1
6,Dilophus_sp.,B1,LEMA,1,2,2,11,2,192,3,1
6,Dilophus_sp.,B3,LEMA,1,2,2,11,2,64,1,1
6,Eucera_sp.,D2,LEMA,1,1,1,11,2,128,2,1
6,Eucera_sp.,D3,LEMA,1,1,1,11,2,192,3,1
6,Eucera_sp.,E3,CHFU,1,0,2,11,2,228,3,1
6,Meligethes_sp.,F5,LEMA,1,0,1,11,2,384,6,1
7,Dilophus_sp.,A1,CHFU,1,24,0,11,3,456,6,1
7,Dilophus_sp.,A5,CHFU,6,24,0,11,3,456,6,6
7,Dilophus_sp.,B1,CHFU,1,24,0,11,3,1140,15,1
7,Dilophus_sp.,B2,CHFU,2,24,0,11,3,608,8,2
7,Eupeodes_corollae,B2,CHFU,1,0,0,11,3,608,8,1
7,Dilophus_sp.,B3,CHFU,2,24,0,11,3,0,0,2
7,Dilophus_sp.,B4,CHFU,1,24,0,11,3,912,12,1
7,Dilophus_sp.,B5,CHFU,1,24,0,11,3,684,9,1
7,Dilophus_sp.,B6,CHFU,3,24,0,11,3,456,6,3
7,Empididae,B6,CHFU,1,3,0,11,3,456,6,1
7,Dilophus_sp.,C3,CHFU,1,24,0,11,3,1064,14,1
7,Empididae,C3,CHFU,1,3,0,11,3,1064,14,1
7,Dilophus_sp.,C6,CHFU,3,24,0,11,3,684,9,3
7,Dilophus_sp.,D1,CHFU,1,24,0,11,3,608,8,1
7,Empididae,D1,CHFU,1,3,0,11,3,608,8,1
7,Dilophus_sp.,D2,CHFU,1,24,0,11,3,0,0,1
7,Dilophus_sp.,D3,CHFU,1,24,0,11,3,532,7,1
7,Dilophus_sp.,D4,CHFU,1,24,0,11,3,760,10,1
7,Dilophus_sp.,D5,CHFU,1,24,0,11,3,912,12,1
7,Dilophus_sp.,D6,CHFU,3,24,0,11,3,608,8,3
7,Dilophus_sp.,E2,CHFU,1,24,0,11,3,228,3,1
7,Diptera,E2,CHFU,1,0,0,11,3,228,3,1
7,Dilophus_sp.,E3,CHFU,2,24,0,11,3,380,5,2
7,Dilophus_sp.,E4,CHFU,2,24,0,11,3,532,7,2
7,Dilophus_sp.,E5,CHFU,1,24,0,11,3,684,9,1
7,Dilophus_sp.,F1,CHFU,1,24,0,11,3,0,0,1
7,Dilophus_sp.,F2,CHFU,2,24,0,11,3,0,0,2
7,Empididae,F2,CHFU,1,3,0,11,3,0,0,1
7,Dilophus_sp.,F3,CHFU,1,24,0,11,3,1140,15,1
7,Dilophus_sp.,F4,CHFU,3,24,0,11,3,608,8,3
7,Dilophus_sp.,F5,CHFU,1,24,0,11,3,988,13,1
8,Diptera,A2,CHFU,2,0,0,11,3,760,10,2
8,Dilophus_sp.,A5,CHFU,2,10,1,11,3,532,7,2
8,Dilophus_sp.,A6,CHFU,1,10,1,11,3,760,10,1
8,Eupeodes_corollae,B2,CHFU,1,1,0,11,3,608,8,1
8,Dilophus_sp.,B3,LEMA,1,0,11,11,3,192,3,1
8,Dilophus_sp.,B4,CHFU,1,10,1,11,3,836,11,1
8,Empididae,B5,CHFU,2,4,0,11,3,228,3,2
8,Eupeodes_corollae,B5,CHFU,1,1,0,11,3,228,3,1
8,Empididae,B6,CHFU,1,4,0,11,3,304,4,1
8,Dilophus_sp.,C3,CHFU,1,10,1,11,3,532,7,1
8,Dilophus_sp.,C4,CHFU,1,10,1,11,3,608,8,1
8,Dilophus_sp.,C6,CHFU,1,10,1,11,3,608,8,1
8,Dilophus_sp.,D2,CHFU,1,10,1,11,3,380,5,1
8,Empididae,D3,CHFU,1,4,0,11,3,380,5,1
8,Empididae,D5,CHFU,1,4,0,11,3,228,3,1
8,Sphaerophoria_scripta,E2,CHFU,1,0,0,11,3,836,11,1
8,Dilophus_sp.,E3,CHFU,1,10,1,11,3,532,7,1
8,Dilophus_sp.,E4,CHFU,1,10,1,11,3,532,7,1
8,Musca_sp.,E5,CHFU,1,0,0,11,3,456,6,1
8,Empididae,F3,CHFU,1,4,0,11,3,608,8,1
8,Dilophus_sp.,F4,CHFU,1,10,1,11,3,836,11,1
8,Dilophus_sp.,F6,CHFU,2,10,1,11,3,684,9,2
9,Dilophus_sp.,A2,CHFU,2,3,3,11,3,380,5,2
9,Dilophus_sp.,A5,LEMA,2,2,4,11,3,0,0,2
9,Dilophus_sp.,C3,LEMA,2,2,4,11,3,128,2,2
9,Psilothrix_viridicoerulea,C4,LEMA,1,1,0,11,3,64,1,1
