Day,Month,Year,Plot,Subplot,Group,Species,ID,G_F,Plant,Sex,Visits,Jar,time,Observer,Obs,Weather,date_raw,Week,Line,Seed,Fruit
13,2,2020,2,E2,Bee,NA,Eucera_sp,Solitary_bees,CHFU,NA,1,4,11:00-15:00,NA,NA,NA,2020-02-13,7,1,28,1
13,2,2020,8,A2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,30,1
13,2,2020,8,A3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,41,1
13,2,2020,8,A5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,la micromosca es la de las alas ahumadas,NA,2020-02-13,7,3,31,1
13,2,2020,8,A6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,NA,NA,NA,2020-02-13,7,3,13,1
13,2,2020,8,B2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,79,1
13,2,2020,8,B1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,NA,NA,NA,2020-02-13,7,3,36,1
13,2,2020,8,C1,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,42,1
13,2,2020,8,C2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,38,1
13,2,2020,8,C3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,NA,NA,NA,2020-02-13,7,3,7.5,1
13,2,2020,8,C5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,NA,NA,NA,2020-02-13,7,3,15,1
13,2,2020,8,C6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,31,1
13,2,2020,8,D4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,9,1
13,2,2020,8,D3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,10,1
13,2,2020,8,F5,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,46,1
13,2,2020,9,D3,Bee,NA,Andrena_sp,Solitary_bees,CHFU,M,2,7N,NA,NA,NA,NA,2020-02-13,7,3,79.5,1
13,2,2020,9,D3,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,NA,NA,NA,2020-02-13,7,3,79.5,1
13,2,2020,9,D3,Bee,NA,Andrena_sp,Solitary_bees,CHFU,F,1,7N,NA,NA,NA,NA,2020-02-13,7,3,79.5,1
13,2,2020,9,D2,Bee,NA,Andrena_sp,Solitary_bees,CHFU,M,1,NA,NA,NA,NA,NA,2020-02-13,7,3,9.5,1
13,2,2020,9,E2,Bee,NA,Andrena_sp,Solitary_bees,CHFU,M,1,NA,NA,NA,NA,NA,2020-02-13,7,3,16,1
13,2,2020,9,E2,Bee,NA,Andrena_sp,Solitary_bees,CHFU,F,2,NA,NA,NA,NA,NA,2020-02-13,7,3,16,1
13,2,2020,9,E3,Bee,NA,Andrena_sp,Solitary_bees,CHFU,M,1,NA,NA,NA,NA,NA,2020-02-13,7,3,20,1
13,2,2020,9,E3,Bee,NA,Andrena_sp,Solitary_bees,CHFU,F,2,NA,NA,NA,NA,NA,2020-02-13,7,3,20,1
13,2,2020,9,E4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,56,1
13,2,2020,9,F6,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,NA,NA,NA,2020-02-13,7,3,69,1
20,2,2020,9,B1,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,2,NA,NA,L,NA,NA,2020-02-20,8,3,53,1
20,2,2020,9,C2,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-02-20,8,3,58,1
20,2,2020,9,C3,Beetle,Psilothrix_viridicoerulea,Psilothrix_viridicoerulea,Flower_beetles,CHFU,NA,1,NA,NA,L,NA,NA,2020-02-20,8,3,31,1
20,2,2020,8,A2,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-02-20,8,3,30,1
20,2,2020,8,A4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,2,NA,NA,L,NA,NA,2020-02-20,8,3,30,1
20,2,2020,8,A5,Fly,Eupeodes_corollae,Eupeodes_corollae,Hoverflies,CHFU,NA,1,NA,NA,L,NA,NA,2020-02-20,8,3,31,1
20,2,2020,8,B4,Fly,NA,Ulidiidae,Small_flies,CHFU,NA,1,NA,NA,L,NA,NA,2020-02-20,8,3,20,1
