ID,G_F,cumulated_visits
1/29/5,1/29/5,14
2_28_5,2_28_5,8
Andrena,Bees,62
Andrena_2_10_3,Bees,69
Bee-picture-26_2,Bees,3
Bee/sirphid,Bees/sirphid,5
bee_1-1-2006,Bees,10
Bee_4.19.5,Bees,14
Bee_9_20_2,Bees,3
Beetle black with red end,Flower_beetles,1
Beetle_orange_3_10_3,Beetle_orange_3_10_3,1
Big bee 2/8/6,Bees,4
Black small melyridae,Flower_beetles,1
Black_beetle_1_10_03,Black_Beetle_1_10_03,2
black_Psilothrix,Flower_beetles,1
Black_small_fly,Small_flies,25
Black_small_fly_LEMA,Small_flies,1
Black_small_fly_SPRU,Small_flies,1
Bombilus_major,Humbleflies,13
Bombylidae,Humbleflies,40
Brassicogethes,Small_beetles,744
Cerambycidae,Big_beetles,2
Chryptocephalus,Flower_beetles,1
Conophorus,Humbleflies,4
Cryptocephalus,Flower_beetles,4
Curculionidae_6_10_3,Small_beetles,1
Cylindromyia,Flies,7
Dilophus,Small_flies,4
Elateridae,Big_beetles,1
Elateridae,Flower_beetles,12
Eristalis,Hoverflies,2
Eristalis?,Hoverflies,1
Eucera,Bees,3
Euchloe_crameri,Butterflies,1
Fly_5_10_3,Flies,1
Fly_jar,Flies,1
Fly_with_red,Flies,3
Geometridae,Butterflies,1
Lasiocampa trifolii,Butterflies,5
Lasioglossum,Bees,8
Lepidoptera,Butterflies,1
Lomatia?,Hoverflies,1
Musca,House_flies,14
Musca jar,House_flies,7
Muscidae,House_flies,22
Nemotelus,Small_flies,1
Other_Black_small_fly,Small_flies,2
Pieris_brassicae,Butterflies,3
Rainbow_beetle,Flower_beetles,1
Red_black_fly_6.19.5,Red_black_fly_6.19.5,2
Sarcophaga,House_flies,13
Small-fly_green,Small_flies,1
Small bee 1/16/6,Bees,22
Small bee 1/18/6,Bees,19
Small bee 1/8/6,Bees,48
Sphaerophoria,Hoverflies,7
Syrphidae,Hoverflies,3
Tabanidae,Horsefly,5
Tachinidae,House_flies,4
Vanessa_cardui,Butterflies,2
